dataset_name,column_name,data_type,required,description,example_values,leakage_note,dataset_provenance
factories,factory_id,object,True,Synthetic factory identifier.,FAC-001,,synthetic
factories,factory_name,object,True,Factory name.,Demo Apparel Works,,synthetic
factories,country,object,True,Country.,Bangladesh,,synthetic
factories,timezone,object,True,Timezone.,Asia/Dhaka,,synthetic
factories,weekly_closure_day,object,True,Weekly closure day.,Friday,,synthetic
factories,dataset_provenance,object,True,Always synthetic for this package.,synthetic,,synthetic
production_lines,line_id,object,True,Production line identifier.,LINE-01 | LINE-02 | LINE-03,,synthetic
production_lines,factory_id,object,True,Synthetic factory identifier.,FAC-001 | FAC-001 | FAC-001,,synthetic
production_lines,line_name,object,True,Line name.,Knit Line 1 | Knit Line 2 | Polo Line,,synthetic
production_lines,specialization,object,True,Specialization.,knit | knit | knit,,synthetic
production_lines,standard_operator_capacity,int64,True,Standard operator capacity.,48 | 52 | 50,,synthetic
production_lines,planning_efficiency,float64,True,Planning efficiency.,0.71 | 0.73 | 0.7,,synthetic
production_lines,active,bool,True,Active.,True | True | True,,synthetic
production_lines,dataset_provenance,object,True,Always synthetic for this package.,synthetic | synthetic | synthetic,,synthetic
styles,style_id,object,True,Garment style identifier.,STY-001 | STY-002 | STY-003,,synthetic
styles,factory_id,object,True,Synthetic factory identifier.,FAC-001 | FAC-001 | FAC-001,,synthetic
styles,style_code,object,True,Style code.,LP-2025001 | LP-2025002 | LP-2025003,,synthetic
styles,product_type,object,True,Product type.,Basic T-Shirt | Graphic T-Shirt | Polo Shirt,,synthetic
styles,fabric_type,object,True,Fabric type.,knit | knit | knit,,synthetic
styles,complexity_band,object,True,Complexity band.,low | low | medium,,synthetic
styles,sam_minutes,float64,True,Sam minutes.,8.8 | 9.4 | 13.9,,synthetic
styles,base_defect_rate,float64,True,Base defect rate.,0.0202 | 0.0121 | 0.0324,,synthetic
styles,dataset_provenance,object,True,Always synthetic for this package.,synthetic | synthetic | synthetic,,synthetic
production_orders,order_id,object,True,Production order identifier.,ORD-01-001 | ORD-01-002 | ORD-01-003,,synthetic
production_orders,factory_id,object,True,Synthetic factory identifier.,FAC-001 | FAC-001 | FAC-001,,synthetic
production_orders,style_id,object,True,Garment style identifier.,STY-007 | STY-023 | STY-019,,synthetic
production_orders,order_code,object,True,Order code.,PO-01-001 | PO-01-002 | PO-01-003,,synthetic
production_orders,order_quantity,int64,True,Order quantity.,4600 | 4050 | 9000,,synthetic
production_orders,planned_start_date,object,True,Planned start date.,2025-01-04 | 2025-01-09 | 2025-01-15,,synthetic
production_orders,planned_end_date,object,True,Planned end date.,2025-01-07 | 2025-01-13 | 2025-01-23,,synthetic
production_orders,committed_due_date,object,True,Committed due date.,2025-01-07 | 2025-01-13 | 2025-01-25,,synthetic
production_orders,actual_completion_at,object,False,Actual completion at.,2025-01-08T17:59:00+00:00 | 2025-01-14T17:59:00+00:00 | 2025-01-26T08:59:00+00:00,,synthetic
production_orders,priority,object,True,Priority.,normal | normal | high,,synthetic
production_orders,status,object,True,Status.,completed | completed | completed,,synthetic
production_orders,label_order_delayed,object,False,1 when actual completion is after committed due date; otherwise 0.,1 | 1 | 1,Outcome label; never use as a feature.,synthetic
production_orders,data_split,object,True,"Time-based train, validation, or test partition.",train | train | train,,synthetic
production_orders,dataset_provenance,object,True,Always synthetic for this package.,synthetic | synthetic | synthetic,,synthetic
