snapshot_id,factory_id,snapshot_at,work_date,line_id,order_id,style_id,day_in_order,complexity_band,sam_minutes,planned_workers,present_workers,attendance_rate,target_to_snapshot,output_to_snapshot,progress_ratio,downtime_to_snapshot,inspected_to_snapshot,defects_to_snapshot,defect_rate_to_snapshot,material_status,changeover_minutes,root_cause_signal,rolling_3d_efficiency,rolling_3d_downtime,previous_day_miss,daily_target,daily_actual_output,label_daily_target_missed,label_high_defect,data_split,dataset_provenance
SNAP-000001,FAC-001,2025-01-04T13:00:00+00:00,2025-01-04,LINE-01,ORD-01-001,STY-007,1,medium,17.9,50,46,0.92,570,270,0.4737,0,115,4,0.0348,available,86,planning,0.92,0.0,0,1140,631,1,0,train,synthetic
SNAP-000002,FAC-001,2025-01-05T13:00:00+00:00,2025-01-05,LINE-01,ORD-01-001,STY-007,2,medium,17.9,50,47,0.94,570,405,0.7105,55,166,9,0.0542,available,0,machine,0.5535,21.0,1,1140,890,1,0,train,synthetic
SNAP-000003,FAC-001,2025-01-06T13:00:00+00:00,2025-01-06,LINE-01,ORD-01-001,STY-007,3,medium,17.9,49,48,0.9796,570,575,1.0088,0,266,5,0.0188,available,0,none,0.6671,38.0,1,1140,1149,0,0,train,synthetic
SNAP-000004,FAC-001,2025-01-07T13:00:00+00:00,2025-01-07,LINE-01,ORD-01-001,STY-007,4,medium,17.9,49,46,0.9388,570,550,0.9649,0,299,5,0.0167,available,0,none,0.7807,25.33,0,1140,1095,1,0,train,synthetic
SNAP-000005,FAC-001,2025-01-08T13:00:00+00:00,2025-01-08,LINE-01,ORD-01-001,STY-007,5,medium,17.9,46,43,0.9348,420,427,1.0167,0,231,5,0.0216,available,0,none,0.9164,18.33,1,835,835,0,0,train,synthetic
SNAP-000006,FAC-001,2025-01-09T13:00:00+00:00,2025-01-09,LINE-01,ORD-01-002,STY-023,1,medium,17.7,46,44,0.9565,575,305,0.5304,0,150,8,0.0533,available,128,method,0.9895,0.0,0,1150,769,1,1,train,synthetic
SNAP-000007,FAC-001,2025-01-11T13:00:00+00:00,2025-01-11,LINE-01,ORD-01-002,STY-023,2,medium,17.7,46,45,0.9783,575,428,0.7443,0,213,18,0.0845,minor,0,quality,0.8764,0.0,1,1150,828,1,1,train,synthetic
SNAP-000008,FAC-001,2025-01-12T13:00:00+00:00,2025-01-12,LINE-01,ORD-01-002,STY-023,3,medium,17.7,47,41,0.8723,575,506,0.88,0,271,16,0.059,available,0,manpower,0.7962,0.0,1,1150,1010,1,0,train,synthetic
SNAP-000009,FAC-001,2025-01-13T13:00:00+00:00,2025-01-13,LINE-01,ORD-01-002,STY-023,4,medium,17.7,50,47,0.94,575,463,0.8052,0,221,22,0.0995,minor,0,quality,0.7557,0.0,1,1150,919,1,1,train,synthetic
SNAP-000010,FAC-001,2025-01-14T13:00:00+00:00,2025-01-14,LINE-01,ORD-01-002,STY-023,5,medium,17.7,49,48,0.9796,264,272,1.0303,0,139,0,0.0,available,0,none,0.7991,0.0,1,524,524,0,0,train,synthetic
SNAP-000011,FAC-001,2025-01-15T13:00:00+00:00,2025-01-15,LINE-01,ORD-01-003,STY-019,1,medium,16.5,48,47,0.9792,615,203,0.3301,55,110,6,0.0545,critical,46,material,0.8925,0.0,0,1230,490,1,0,train,synthetic
SNAP-000012,FAC-001,2025-01-16T13:00:00+00:00,2025-01-16,LINE-01,ORD-01-003,STY-019,2,medium,16.5,49,47,0.9592,615,539,0.8764,0,280,10,0.0357,available,0,none,0.7325,18.33,1,1230,1093,1,0,train,synthetic
SNAP-000013,FAC-001,2025-01-18T13:00:00+00:00,2025-01-18,LINE-01,ORD-01-003,STY-019,3,medium,16.5,47,45,0.9574,615,601,0.9772,0,309,6,0.0194,available,0,none,0.7623,18.33,1,1230,1202,1,0,train,synthetic
SNAP-000014,FAC-001,2025-01-19T13:00:00+00:00,2025-01-19,LINE-01,ORD-01-003,STY-019,4,medium,16.5,50,48,0.96,615,640,1.0407,0,312,5,0.016,available,0,none,0.7547,18.33,1,1230,1265,0,0,train,synthetic
SNAP-000015,FAC-001,2025-01-20T13:00:00+00:00,2025-01-20,LINE-01,ORD-01-003,STY-019,5,medium,16.5,46,43,0.9348,615,609,0.9902,0,286,6,0.021,available,0,none,0.9648,0.0,0,1230,1203,1,0,train,synthetic
SNAP-000016,FAC-001,2025-01-21T13:00:00+00:00,2025-01-21,LINE-01,ORD-01-003,STY-019,6,medium,16.5,48,47,0.9792,615,635,1.0325,0,250,2,0.008,available,0,none,0.9946,0.0,1,1230,1296,0,0,train,synthetic
SNAP-000017,FAC-001,2025-01-22T13:00:00+00:00,2025-01-22,LINE-01,ORD-01-003,STY-019,7,medium,16.5,50,48,0.96,615,587,0.9545,0,270,16,0.0593,available,0,quality,1.0201,0.0,0,1230,1163,1,0,train,synthetic
SNAP-000018,FAC-001,2025-01-23T13:00:00+00:00,2025-01-23,LINE-01,ORD-01-003,STY-019,8,medium,16.5,48,45,0.9375,615,611,0.9935,0,299,11,0.0368,available,0,none,0.9924,0.0,1,1230,1233,0,0,train,synthetic
SNAP-000019,FAC-001,2025-01-25T13:00:00+00:00,2025-01-25,LINE-01,ORD-01-003,STY-019,9,medium,16.5,46,44,0.9565,30,30,1.0,0,14,0,0.0,available,0,none,1.0005,0.0,0,55,54,1,0,train,synthetic
SNAP-000020,FAC-001,2025-01-26T13:00:00+00:00,2025-01-26,LINE-01,ORD-01-003,STY-019,10,medium,16.5,49,48,0.9796,1,1,1.0,0,1,0,0.0,available,0,none,0.9766,0.0,1,1,1,0,0,train,synthetic
SNAP-000021,FAC-001,2025-01-27T13:00:00+00:00,2025-01-27,LINE-01,ORD-01-004,STY-033,1,low,8.0,49,47,0.9592,1150,713,0.62,0,382,6,0.0157,available,75,planning,0.9948,0.0,0,2300,1627,1,0,train,synthetic
SNAP-000022,FAC-001,2025-01-28T13:00:00+00:00,2025-01-28,LINE-01,ORD-01-004,STY-033,2,low,8.0,49,48,0.9796,1150,1024,0.8904,10,491,9,0.0183,available,0,none,0.8964,0.0,1,2300,2078,1,0,train,synthetic
SNAP-000023,FAC-001,2025-01-29T13:00:00+00:00,2025-01-29,LINE-01,ORD-01-004,STY-033,3,low,8.0,48,47,0.9792,1150,1110,0.9652,0,550,10,0.0182,available,0,none,0.8703,3.33,1,2300,2198,1,0,train,synthetic
SNAP-000024,FAC-001,2025-01-30T13:00:00+00:00,2025-01-30,LINE-01,ORD-01-004,STY-033,4,low,8.0,48,47,0.9792,1150,1163,1.0113,0,485,16,0.033,available,0,none,0.8555,3.33,1,2300,2305,0,0,train,synthetic
SNAP-000025,FAC-001,2025-02-01T13:00:00+00:00,2025-02-01,LINE-01,ORD-01-004,STY-033,5,low,8.0,50,44,0.88,1150,1077,0.9365,0,515,7,0.0136,available,0,manpower,0.9538,6.0,0,2300,1914,1,0,train,synthetic
SNAP-000026,FAC-001,2025-02-02T13:00:00+00:00,2025-02-02,LINE-01,ORD-01-004,STY-033,6,low,8.0,50,43,0.86,1150,994,0.8643,17,505,6,0.0119,available,0,manpower,0.93,20.67,1,2300,1990,1,0,train,synthetic
SNAP-000027,FAC-001,2025-02-03T13:00:00+00:00,2025-02-03,LINE-01,ORD-01-004,STY-033,7,low,8.0,50,44,0.88,1150,1135,0.987,0,505,8,0.0158,available,0,manpower,0.8999,26.33,1,2300,2202,1,0,train,synthetic
SNAP-000028,FAC-001,2025-02-04T13:00:00+00:00,2025-02-04,LINE-01,ORD-01-004,STY-033,8,low,8.0,46,44,0.9565,1150,1178,1.0243,0,558,10,0.0179,available,0,none,0.8849,23.67,1,2300,2349,0,0,train,synthetic
SNAP-000029,FAC-001,2025-02-05T13:00:00+00:00,2025-02-05,LINE-01,ORD-01-004,STY-033,9,low,8.0,50,49,0.98,1150,1132,0.9843,8,603,13,0.0216,available,0,none,0.948,5.67,0,2300,2361,0,0,train,synthetic
