order_id,factory_id,line_id,style_id,order_quantity,sam_minutes,complexity_band,planned_duration_days,schedule_slack_days,line_prior_14d_efficiency,planned_start_date,committed_due_date,actual_completion_date,label_order_delayed,data_split,dataset_provenance
ORD-01-001,FAC-001,LINE-01,STY-007,4600,17.9,medium,4,0,0.92,2025-01-04,2025-01-07,2025-01-08,1,train,synthetic
ORD-01-002,FAC-001,LINE-01,STY-023,4050,17.7,medium,4,0,0.8605,2025-01-09,2025-01-13,2025-01-14,1,train,synthetic
ORD-01-003,FAC-001,LINE-01,STY-019,9000,16.5,medium,8,1,0.8369,2025-01-15,2025-01-25,2025-01-26,1,train,synthetic
ORD-01-004,FAC-001,LINE-01,STY-033,20000,8.0,low,9,2,0.9037,2025-01-27,2025-02-08,2025-02-08,0,train,synthetic
ORD-01-005,FAC-001,LINE-01,STY-023,10100,17.7,medium,9,2,0.9462,2025-02-09,2025-02-20,2025-02-20,0,train,synthetic
ORD-01-006,FAC-001,LINE-01,STY-007,7050,17.9,medium,7,2,0.9352,2025-02-22,2025-03-03,2025-03-02,0,train,synthetic
ORD-01-007,FAC-001,LINE-01,STY-017,15350,7.8,low,7,1,0.9453,2025-03-03,2025-03-11,2025-03-13,1,train,synthetic
ORD-01-008,FAC-001,LINE-01,STY-033,13350,8.0,low,6,1,0.9101,2025-03-15,2025-03-22,2025-03-22,0,train,synthetic
ORD-01-009,FAC-001,LINE-01,STY-034,12000,10.1,low,6,0,0.891,2025-03-23,2025-03-29,2025-04-01,1,train,synthetic
ORD-01-010,FAC-001,LINE-01,STY-008,11250,8.1,low,5,2,0.9191,2025-04-02,2025-04-09,2025-04-08,0,train,synthetic
ORD-01-011,FAC-001,LINE-01,STY-020,6000,20.3,medium,6,1,0.9421,2025-04-09,2025-04-16,2025-04-16,0,train,synthetic
ORD-01-012,FAC-001,LINE-01,STY-008,13150,8.1,low,6,2,0.8917,2025-04-17,2025-04-26,2025-04-24,0,train,synthetic
ORD-01-013,FAC-001,LINE-01,STY-006,10800,13.8,medium,8,0,0.847,2025-04-26,2025-05-04,2025-05-07,1,train,synthetic
ORD-01-014,FAC-001,LINE-01,STY-036,9350,19.7,medium,9,1,0.9188,2025-05-08,2025-05-19,2025-05-21,1,validation,synthetic
ORD-01-015,FAC-001,LINE-01,STY-017,10250,7.8,low,5,1,0.9303,2025-05-22,2025-05-28,2025-05-29,1,validation,synthetic
ORD-01-016,FAC-001,LINE-01,STY-022,12450,13.3,medium,9,1,0.9269,2025-05-31,2025-06-10,2025-06-09,0,validation,synthetic
ORD-01-017,FAC-001,LINE-01,STY-007,10900,17.9,medium,10,1,0.9258,2025-06-10,2025-06-22,2025-06-22,0,test,synthetic
ORD-01-018,FAC-001,LINE-01,STY-005,4000,25.0,high,5,1,0.9349,2025-06-23,2025-06-29,2025-06-30,1,test,synthetic
ORD-02-001,FAC-001,LINE-02,STY-033,9350,8.0,low,4,1,0.92,2025-01-04,2025-01-08,2025-01-08,0,train,synthetic
ORD-02-002,FAC-001,LINE-02,STY-021,5900,24.0,high,7,1,0.9152,2025-01-09,2025-01-18,2025-01-19,1,train,synthetic
ORD-02-003,FAC-001,LINE-02,STY-018,13950,10.2,low,7,1,0.9081,2025-01-20,2025-01-28,2025-01-28,0,train,synthetic
ORD-02-004,FAC-001,LINE-02,STY-001,21300,8.8,low,10,1,0.9542,2025-01-29,2025-02-10,2025-02-11,1,train,synthetic
ORD-02-005,FAC-001,LINE-02,STY-008,15550,8.1,low,7,0,0.9034,2025-02-12,2025-02-19,2025-02-20,1,train,synthetic
ORD-02-006,FAC-001,LINE-02,STY-005,8550,25.0,high,10,2,0.9163,2025-02-22,2025-03-06,2025-03-05,0,train,synthetic
ORD-02-007,FAC-001,LINE-02,STY-033,15300,8.0,low,7,2,0.9513,2025-03-06,2025-03-16,2025-03-15,0,train,synthetic
