work_date,data_split,is_workday,dataset_provenance
2025-01-04,train,True,synthetic
2025-01-05,train,True,synthetic
2025-01-06,train,True,synthetic
2025-01-07,train,True,synthetic
2025-01-08,train,True,synthetic
2025-01-09,train,True,synthetic
2025-01-11,train,True,synthetic
2025-01-12,train,True,synthetic
2025-01-13,train,True,synthetic
2025-01-14,train,True,synthetic
2025-01-15,train,True,synthetic
2025-01-16,train,True,synthetic
2025-01-18,train,True,synthetic
2025-01-19,train,True,synthetic
2025-01-20,train,True,synthetic
2025-01-21,train,True,synthetic
2025-01-22,train,True,synthetic
2025-01-23,train,True,synthetic
2025-01-25,train,True,synthetic
2025-01-26,train,True,synthetic
2025-01-27,train,True,synthetic
2025-01-28,train,True,synthetic
2025-01-29,train,True,synthetic
2025-01-30,train,True,synthetic
2025-02-01,train,True,synthetic
2025-02-02,train,True,synthetic
2025-02-03,train,True,synthetic
2025-02-04,train,True,synthetic
2025-02-05,train,True,synthetic
2025-02-06,train,True,synthetic
2025-02-08,train,True,synthetic
2025-02-09,train,True,synthetic
2025-02-10,train,True,synthetic
2025-02-11,train,True,synthetic
2025-02-12,train,True,synthetic
2025-02-13,train,True,synthetic
2025-02-15,train,True,synthetic
2025-02-16,train,True,synthetic
2025-02-17,train,True,synthetic
2025-02-18,train,True,synthetic
2025-02-19,train,True,synthetic
2025-02-20,train,True,synthetic
2025-02-22,train,True,synthetic
2025-02-23,train,True,synthetic
2025-02-24,train,True,synthetic
2025-02-25,train,True,synthetic
2025-02-26,train,True,synthetic
2025-02-27,train,True,synthetic
2025-03-01,train,True,synthetic
2025-03-02,train,True,synthetic
2025-03-03,train,True,synthetic
2025-03-04,train,True,synthetic
2025-03-05,train,True,synthetic
2025-03-06,train,True,synthetic
2025-03-08,train,True,synthetic
2025-03-09,train,True,synthetic
2025-03-10,train,True,synthetic
2025-03-11,train,True,synthetic
2025-03-12,train,True,synthetic
2025-03-13,train,True,synthetic
2025-03-15,train,True,synthetic
2025-03-16,train,True,synthetic
2025-03-17,train,True,synthetic
2025-03-18,train,True,synthetic
2025-03-19,train,True,synthetic
2025-03-20,train,True,synthetic
2025-03-22,train,True,synthetic
2025-03-23,train,True,synthetic
2025-03-24,train,True,synthetic
2025-03-25,train,True,synthetic
2025-03-26,train,True,synthetic
2025-03-27,train,True,synthetic
2025-03-29,train,True,synthetic
2025-03-30,train,True,synthetic
2025-03-31,train,True,synthetic
2025-04-01,train,True,synthetic
2025-04-02,train,True,synthetic
2025-04-03,train,True,synthetic
2025-04-05,train,True,synthetic
2025-04-06,train,True,synthetic
2025-04-07,train,True,synthetic
2025-04-08,train,True,synthetic
2025-04-09,train,True,synthetic
2025-04-10,train,True,synthetic
2025-04-12,train,True,synthetic
2025-04-13,train,True,synthetic
2025-04-14,train,True,synthetic
2025-04-15,train,True,synthetic
2025-04-16,train,True,synthetic
2025-04-17,train,True,synthetic
2025-04-19,train,True,synthetic
2025-04-20,train,True,synthetic
2025-04-21,train,True,synthetic
2025-04-22,train,True,synthetic
2025-04-23,train,True,synthetic
2025-04-24,train,True,synthetic
2025-04-26,train,True,synthetic
2025-04-27,train,True,synthetic
2025-04-28,train,True,synthetic
2025-04-29,train,True,synthetic
2025-04-30,train,True,synthetic
2025-05-01,validation,True,synthetic
2025-05-03,validation,True,synthetic
2025-05-04,validation,True,synthetic
2025-05-05,validation,True,synthetic
2025-05-06,validation,True,synthetic
2025-05-07,validation,True,synthetic
2025-05-08,validation,True,synthetic
2025-05-10,validation,True,synthetic
2025-05-11,validation,True,synthetic
2025-05-12,validation,True,synthetic
2025-05-13,validation,True,synthetic
2025-05-14,validation,True,synthetic
2025-05-15,validation,True,synthetic
2025-05-17,validation,True,synthetic
2025-05-18,validation,True,synthetic
2025-05-19,validation,True,synthetic
2025-05-20,validation,True,synthetic
2025-05-21,validation,True,synthetic
2025-05-22,validation,True,synthetic
2025-05-24,validation,True,synthetic
2025-05-25,validation,True,synthetic
2025-05-26,validation,True,synthetic
2025-05-27,validation,True,synthetic
2025-05-28,validation,True,synthetic
2025-05-29,validation,True,synthetic
2025-05-31,validation,True,synthetic
2025-06-01,test,True,synthetic
2025-06-02,test,True,synthetic
2025-06-03,test,True,synthetic
2025-06-04,test,True,synthetic
2025-06-05,test,True,synthetic
2025-06-07,test,True,synthetic
2025-06-08,test,True,synthetic
2025-06-09,test,True,synthetic
2025-06-10,test,True,synthetic
2025-06-11,test,True,synthetic
2025-06-12,test,True,synthetic
2025-06-14,test,True,synthetic
2025-06-15,test,True,synthetic
2025-06-16,test,True,synthetic
2025-06-17,test,True,synthetic
2025-06-18,test,True,synthetic
2025-06-19,test,True,synthetic
2025-06-21,test,True,synthetic
2025-06-22,test,True,synthetic
2025-06-23,test,True,synthetic
2025-06-24,test,True,synthetic
2025-06-25,test,True,synthetic
2025-06-26,test,True,synthetic
2025-06-28,test,True,synthetic
2025-06-29,test,True,synthetic
2025-06-30,test,True,synthetic
