outcome_id,action_id,factory_id,line_id,measured_at,observation_window,efficiency_before,efficiency_after,observed_efficiency_change,target_met_after,causal_claim_allowed,data_split,dataset_provenance
OUT-000001,ACT-000001,FAC-001,LINE-01,2025-01-05T18:00:00+00:00,next_workday,0.5535,0.7807,0.2272,0,False,train,synthetic
OUT-000002,ACT-000003,FAC-001,LINE-01,2025-01-11T18:00:00+00:00,next_workday,0.6687,0.72,0.0513,0,False,train,synthetic
OUT-000003,ACT-000004,FAC-001,LINE-01,2025-01-12T18:00:00+00:00,next_workday,0.72,0.8783,0.1583,0,False,train,synthetic
OUT-000004,ACT-000005,FAC-001,LINE-01,2025-01-13T18:00:00+00:00,next_workday,0.8783,0.7991,-0.0791,0,False,train,synthetic
OUT-000005,ACT-000007,FAC-001,LINE-01,2025-01-16T18:00:00+00:00,next_workday,0.3984,0.8886,0.4902,0,False,train,synthetic
OUT-000006,ACT-000008,FAC-001,LINE-01,2025-01-23T18:00:00+00:00,next_workday,0.9455,1.0024,0.0569,1,False,train,synthetic
OUT-000007,ACT-000009,FAC-001,LINE-01,2025-01-28T18:00:00+00:00,next_workday,0.7074,0.9035,0.1961,0,False,train,synthetic
OUT-000008,ACT-000010,FAC-001,LINE-01,2025-02-02T18:00:00+00:00,next_workday,0.8322,0.8652,0.033,0,False,train,synthetic
OUT-000009,ACT-000011,FAC-001,LINE-01,2025-02-03T18:00:00+00:00,next_workday,0.8652,0.9574,0.0922,0,False,train,synthetic
OUT-000010,ACT-000012,FAC-001,LINE-01,2025-02-04T18:00:00+00:00,next_workday,0.9574,1.0213,0.0639,1,False,train,synthetic
OUT-000011,ACT-000013,FAC-001,LINE-01,2025-02-10T18:00:00+00:00,next_workday,0.687,0.9148,0.2278,0,False,train,synthetic
OUT-000012,ACT-000014,FAC-001,LINE-01,2025-02-15T18:00:00+00:00,next_workday,0.7365,1.013,0.2765,1,False,train,synthetic
OUT-000013,ACT-000015,FAC-001,LINE-01,2025-02-17T18:00:00+00:00,next_workday,0.873,1.0435,0.1704,1,False,train,synthetic
OUT-000014,ACT-000016,FAC-001,LINE-01,2025-02-19T18:00:00+00:00,next_workday,0.9043,0.9582,0.0538,0,False,train,synthetic
OUT-000015,ACT-000017,FAC-001,LINE-01,2025-02-23T18:00:00+00:00,next_workday,0.7465,0.8667,0.1202,0,False,train,synthetic
OUT-000016,ACT-000018,FAC-001,LINE-01,2025-03-01T18:00:00+00:00,next_workday,0.936,0.9904,0.0545,0,False,train,synthetic
OUT-000017,ACT-000019,FAC-001,LINE-01,2025-03-04T18:00:00+00:00,next_workday,0.6657,0.7852,0.1196,0,False,train,synthetic
OUT-000018,ACT-000020,FAC-001,LINE-01,2025-03-05T18:00:00+00:00,next_workday,0.7852,0.9048,0.1196,0,False,train,synthetic
OUT-000019,ACT-000021,FAC-001,LINE-01,2025-03-06T18:00:00+00:00,next_workday,0.9048,0.7378,-0.167,0,False,train,synthetic
