production_id,factory_id,allocation_id,work_date,hour_start,shift_code,line_id,order_id,style_id,hourly_target,actual_output,cumulative_order_output,wip_qty,planned_workers,present_workers,downtime_minutes,inspected_qty,defect_count,material_status,hourly_efficiency,data_split,dataset_provenance
PROD-000001,FAC-001,ALLOC-01-001,2025-01-04,08:00,DAY,LINE-01,ORD-01-001,STY-007,114,11,11,133,50,46,0,5,0,available,0.0965,train,synthetic
PROD-000002,FAC-001,ALLOC-01-001,2025-01-04,09:00,DAY,LINE-01,ORD-01-001,STY-007,114,29,40,158,50,46,0,13,0,available,0.2544,train,synthetic
PROD-000003,FAC-001,ALLOC-01-001,2025-01-04,10:00,DAY,LINE-01,ORD-01-001,STY-007,114,74,114,154,50,46,0,27,1,available,0.6491,train,synthetic
PROD-000004,FAC-001,ALLOC-01-001,2025-01-04,11:00,DAY,LINE-01,ORD-01-001,STY-007,114,79,193,147,50,46,0,39,1,available,0.693,train,synthetic
PROD-000005,FAC-001,ALLOC-01-001,2025-01-04,12:00,DAY,LINE-01,ORD-01-001,STY-007,114,77,270,122,50,46,0,31,2,available,0.6754,train,synthetic
PROD-000006,FAC-001,ALLOC-01-001,2025-01-04,13:00,DAY,LINE-01,ORD-01-001,STY-007,114,73,343,125,50,46,0,44,2,available,0.6404,train,synthetic
PROD-000007,FAC-001,ALLOC-01-001,2025-01-04,14:00,DAY,LINE-01,ORD-01-001,STY-007,114,55,398,123,50,46,21,33,2,available,0.4825,train,synthetic
PROD-000008,FAC-001,ALLOC-01-001,2025-01-04,15:00,DAY,LINE-01,ORD-01-001,STY-007,114,76,474,118,50,46,0,41,1,available,0.6667,train,synthetic
PROD-000009,FAC-001,ALLOC-01-001,2025-01-04,16:00,DAY,LINE-01,ORD-01-001,STY-007,114,79,553,118,50,46,0,33,1,available,0.693,train,synthetic
PROD-000010,FAC-001,ALLOC-01-001,2025-01-04,17:00,DAY,LINE-01,ORD-01-001,STY-007,114,78,631,151,50,46,0,31,3,available,0.6842,train,synthetic
PROD-000011,FAC-001,ALLOC-01-001,2025-01-05,08:00,DAY,LINE-01,ORD-01-001,STY-007,114,90,721,101,50,47,0,34,2,available,0.7895,train,synthetic
PROD-000012,FAC-001,ALLOC-01-001,2025-01-05,09:00,DAY,LINE-01,ORD-01-001,STY-007,114,99,820,152,50,47,0,39,3,available,0.8684,train,synthetic
PROD-000013,FAC-001,ALLOC-01-001,2025-01-05,10:00,DAY,LINE-01,ORD-01-001,STY-007,114,9,829,158,50,47,55,3,1,available,0.0789,train,synthetic
PROD-000014,FAC-001,ALLOC-01-001,2025-01-05,11:00,DAY,LINE-01,ORD-01-001,STY-007,114,114,943,158,50,47,0,49,1,available,1.0,train,synthetic
PROD-000015,FAC-001,ALLOC-01-001,2025-01-05,12:00,DAY,LINE-01,ORD-01-001,STY-007,114,93,1036,140,50,47,0,41,2,available,0.8158,train,synthetic
PROD-000016,FAC-001,ALLOC-01-001,2025-01-05,13:00,DAY,LINE-01,ORD-01-001,STY-007,114,90,1126,140,50,47,0,46,0,available,0.7895,train,synthetic
PROD-000017,FAC-001,ALLOC-01-001,2025-01-05,14:00,DAY,LINE-01,ORD-01-001,STY-007,114,106,1232,103,50,47,0,51,2,available,0.9298,train,synthetic
PROD-000018,FAC-001,ALLOC-01-001,2025-01-05,15:00,DAY,LINE-01,ORD-01-001,STY-007,114,98,1330,122,50,47,0,58,0,available,0.8596,train,synthetic
PROD-000019,FAC-001,ALLOC-01-001,2025-01-05,16:00,DAY,LINE-01,ORD-01-001,STY-007,114,106,1436,97,50,47,0,57,2,available,0.9298,train,synthetic
PROD-000020,FAC-001,ALLOC-01-001,2025-01-05,17:00,DAY,LINE-01,ORD-01-001,STY-007,114,85,1521,182,50,47,0,50,0,available,0.7456,train,synthetic
PROD-000021,FAC-001,ALLOC-01-001,2025-01-06,08:00,DAY,LINE-01,ORD-01-001,STY-007,114,97,1618,114,49,48,0,53,0,available,0.8509,train,synthetic
PROD-000022,FAC-001,ALLOC-01-001,2025-01-06,09:00,DAY,LINE-01,ORD-01-001,STY-007,114,114,1732,116,49,48,0,62,2,available,1.0,train,synthetic
PROD-000023,FAC-001,ALLOC-01-001,2025-01-06,10:00,DAY,LINE-01,ORD-01-001,STY-007,114,126,1858,139,49,48,0,46,1,available,1.1053,train,synthetic
PROD-000024,FAC-001,ALLOC-01-001,2025-01-06,11:00,DAY,LINE-01,ORD-01-001,STY-007,114,123,1981,119,49,48,0,42,1,available,1.0789,train,synthetic
PROD-000025,FAC-001,ALLOC-01-001,2025-01-06,12:00,DAY,LINE-01,ORD-01-001,STY-007,114,115,2096,106,49,48,0,63,1,available,1.0088,train,synthetic
