allocation_id,factory_id,order_id,line_id,starts_on,planned_ends_on,actual_ends_on,target_per_hour,planned_workers,data_split,dataset_provenance
ALLOC-01-001,FAC-001,ORD-01-001,LINE-01,2025-01-04,2025-01-07,2025-01-08,114,48,train,synthetic
ALLOC-01-002,FAC-001,ORD-01-002,LINE-01,2025-01-09,2025-01-13,2025-01-14,115,48,train,synthetic
ALLOC-01-003,FAC-001,ORD-01-003,LINE-01,2025-01-15,2025-01-23,2025-01-26,123,48,train,synthetic
ALLOC-01-004,FAC-001,ORD-01-004,LINE-01,2025-01-27,2025-02-05,2025-02-08,230,48,train,synthetic
ALLOC-01-005,FAC-001,ORD-01-005,LINE-01,2025-02-09,2025-02-18,2025-02-20,115,48,train,synthetic
ALLOC-01-006,FAC-001,ORD-01-006,LINE-01,2025-02-22,2025-03-01,2025-03-02,114,48,train,synthetic
ALLOC-01-007,FAC-001,ORD-01-007,LINE-01,2025-03-03,2025-03-10,2025-03-13,230,48,train,synthetic
ALLOC-01-008,FAC-001,ORD-01-008,LINE-01,2025-03-15,2025-03-20,2025-03-22,230,48,train,synthetic
ALLOC-01-009,FAC-001,ORD-01-009,LINE-01,2025-03-23,2025-03-29,2025-04-01,202,48,train,synthetic
ALLOC-01-010,FAC-001,ORD-01-010,LINE-01,2025-04-02,2025-04-07,2025-04-08,230,48,train,synthetic
ALLOC-01-011,FAC-001,ORD-01-011,LINE-01,2025-04-09,2025-04-15,2025-04-16,100,48,train,synthetic
ALLOC-01-012,FAC-001,ORD-01-012,LINE-01,2025-04-17,2025-04-23,2025-04-24,230,48,train,synthetic
ALLOC-01-013,FAC-001,ORD-01-013,LINE-01,2025-04-26,2025-05-04,2025-05-07,148,48,train,synthetic
ALLOC-01-014,FAC-001,ORD-01-014,LINE-01,2025-05-08,2025-05-18,2025-05-21,103,48,validation,synthetic
ALLOC-01-015,FAC-001,ORD-01-015,LINE-01,2025-05-22,2025-05-27,2025-05-29,230,48,validation,synthetic
ALLOC-01-016,FAC-001,ORD-01-016,LINE-01,2025-05-31,2025-06-09,2025-06-09,153,48,validation,synthetic
ALLOC-01-017,FAC-001,ORD-01-017,LINE-01,2025-06-10,2025-06-21,2025-06-22,114,48,test,synthetic
ALLOC-01-018,FAC-001,ORD-01-018,LINE-01,2025-06-23,2025-06-28,2025-06-30,81,48,test,synthetic
ALLOC-02-001,FAC-001,ORD-02-001,LINE-02,2025-01-04,2025-01-07,2025-01-08,230,52,train,synthetic
ALLOC-02-002,FAC-001,ORD-02-002,LINE-02,2025-01-09,2025-01-16,2025-01-19,94,52,train,synthetic
ALLOC-02-003,FAC-001,ORD-02-003,LINE-02,2025-01-20,2025-01-27,2025-01-28,223,52,train,synthetic
ALLOC-02-004,FAC-001,ORD-02-004,LINE-02,2025-01-29,2025-02-09,2025-02-11,230,52,train,synthetic
ALLOC-02-005,FAC-001,ORD-02-005,LINE-02,2025-02-12,2025-02-19,2025-02-20,230,52,train,synthetic
ALLOC-02-006,FAC-001,ORD-02-006,LINE-02,2025-02-22,2025-03-04,2025-03-05,91,52,train,synthetic
ALLOC-02-007,FAC-001,ORD-02-007,LINE-02,2025-03-06,2025-03-13,2025-03-15,230,52,train,synthetic
ALLOC-02-008,FAC-001,ORD-02-008,LINE-02,2025-03-16,2025-03-20,2025-03-23,230,52,train,synthetic
ALLOC-02-009,FAC-001,ORD-02-009,LINE-02,2025-03-24,2025-03-29,2025-03-30,165,52,train,synthetic
ALLOC-02-010,FAC-001,ORD-02-010,LINE-02,2025-03-31,2025-04-10,2025-04-13,127,52,train,synthetic
