downtime_id,factory_id,line_id,order_id,work_date,machine_type,started_at,duration_minutes,reason_code,resolved,data_split,dataset_provenance
DOWN-000001,FAC-001,LINE-01,ORD-01-001,2025-01-04,flatlock,2025-01-04T14:01:00+00:00,21,thread_break,True,train,synthetic
DOWN-000002,FAC-001,LINE-01,ORD-01-001,2025-01-05,bartack,2025-01-05T10:15:00+00:00,57,needle_damage,False,train,synthetic
DOWN-000003,FAC-001,LINE-01,ORD-01-003,2025-01-15,cutting_machine,2025-01-15T09:18:00+00:00,56,motor_issue,True,train,synthetic
DOWN-000004,FAC-001,LINE-01,ORD-01-004,2025-01-28,overlock,2025-01-28T12:21:00+00:00,10,timing_adjustment,False,train,synthetic
DOWN-000005,FAC-001,LINE-01,ORD-01-004,2025-01-30,bartack,2025-01-30T14:19:00+00:00,8,timing_adjustment,True,train,synthetic
DOWN-000006,FAC-001,LINE-01,ORD-01-004,2025-02-01,button_attach,2025-02-01T14:29:00+00:00,54,timing_adjustment,False,train,synthetic
DOWN-000007,FAC-001,LINE-01,ORD-01-004,2025-02-02,flatlock,2025-02-02T09:26:00+00:00,17,motor_issue,False,train,synthetic
DOWN-000008,FAC-001,LINE-01,ORD-01-004,2025-02-05,single_needle,2025-02-05T11:26:00+00:00,8,needle_damage,True,train,synthetic
DOWN-000009,FAC-001,LINE-01,ORD-01-005,2025-02-18,iron,2025-02-18T11:03:00+00:00,8,motor_issue,True,train,synthetic
DOWN-000010,FAC-001,LINE-01,ORD-01-006,2025-02-23,bartack,2025-02-23T09:27:00+00:00,28,power_interruption,True,train,synthetic
DOWN-000011,FAC-001,LINE-01,ORD-01-006,2025-02-24,bartack,2025-02-24T10:03:00+00:00,8,preventive_maintenance,True,train,synthetic
DOWN-000012,FAC-001,LINE-01,ORD-01-006,2025-02-27,button_hole,2025-02-27T09:21:00+00:00,40,power_interruption,False,train,synthetic
DOWN-000013,FAC-001,LINE-01,ORD-01-007,2025-03-08,flatlock,2025-03-08T09:07:00+00:00,8,motor_issue,True,train,synthetic
DOWN-000014,FAC-001,LINE-01,ORD-01-007,2025-03-09,single_needle,2025-03-09T15:10:00+00:00,16,motor_issue,True,train,synthetic
DOWN-000015,FAC-001,LINE-01,ORD-01-007,2025-03-10,iron,2025-03-10T13:17:00+00:00,34,motor_issue,True,train,synthetic
DOWN-000016,FAC-001,LINE-01,ORD-01-007,2025-03-11,bartack,2025-03-11T13:20:00+00:00,45,power_interruption,True,train,synthetic
DOWN-000017,FAC-001,LINE-01,ORD-01-008,2025-03-19,cutting_machine,2025-03-19T09:02:00+00:00,15,needle_damage,True,train,synthetic
DOWN-000018,FAC-001,LINE-01,ORD-01-008,2025-03-20,cutting_machine,2025-03-20T11:11:00+00:00,81,needle_damage,True,train,synthetic
DOWN-000019,FAC-001,LINE-01,ORD-01-008,2025-03-20,cutting_machine,2025-03-20T10:24:00+00:00,35,motor_issue,True,train,synthetic
DOWN-000020,FAC-001,LINE-01,ORD-01-009,2025-03-30,flatlock,2025-03-30T13:07:00+00:00,28,timing_adjustment,True,train,synthetic
DOWN-000021,FAC-001,LINE-01,ORD-01-009,2025-03-30,button_attach,2025-03-30T09:21:00+00:00,8,motor_issue,True,train,synthetic
