material_status_id,factory_id,work_date,order_id,material_code,required_qty,available_qty,expected_at,status,data_split,dataset_provenance
MAT-000001,FAC-001,2025-01-04,ORD-01-001,buttons,1190.1,1297.4,,available,train,synthetic
MAT-000002,FAC-001,2025-01-05,ORD-01-001,buttons,1413.5,1518.9,,available,train,synthetic
MAT-000003,FAC-001,2025-01-06,ORD-01-001,shell_fabric,1058.6,1122.2,,available,train,synthetic
MAT-000004,FAC-001,2025-01-07,ORD-01-001,buttons,636.5,638.1,,available,train,synthetic
MAT-000005,FAC-001,2025-01-08,ORD-01-001,zipper,240.8,247.1,,available,train,synthetic
MAT-000006,FAC-001,2025-01-09,ORD-01-002,sewing_thread,887.8,990.8,,available,train,synthetic
MAT-000007,FAC-001,2025-01-11,ORD-01-002,buttons,685.6,586.0,2025-01-11T09:00:00+00:00,minor,train,synthetic
MAT-000008,FAC-001,2025-01-12,ORD-01-002,shell_fabric,480.9,502.0,,available,train,synthetic
MAT-000009,FAC-001,2025-01-13,ORD-01-002,sewing_thread,365.8,331.1,2025-01-13T09:00:00+00:00,minor,train,synthetic
MAT-000010,FAC-001,2025-01-14,ORD-01-002,shell_fabric,226.6,235.5,,available,train,synthetic
MAT-000011,FAC-001,2025-01-15,ORD-01-003,buttons,1894.4,482.0,2025-01-16T09:00:00+00:00,critical,train,synthetic
MAT-000012,FAC-001,2025-01-16,ORD-01-003,sewing_thread,1788.7,1913.0,,available,train,synthetic
MAT-000013,FAC-001,2025-01-18,ORD-01-003,zipper,1604.4,1650.6,,available,train,synthetic
MAT-000014,FAC-001,2025-01-19,ORD-01-003,zipper,2356.7,2565.3,,available,train,synthetic
MAT-000015,FAC-001,2025-01-20,ORD-01-003,shell_fabric,1986.1,2127.9,,available,train,synthetic
MAT-000016,FAC-001,2025-01-21,ORD-01-003,zipper,1493.1,1532.0,,available,train,synthetic
MAT-000017,FAC-001,2025-01-22,ORD-01-003,shell_fabric,691.6,713.6,,available,train,synthetic
MAT-000018,FAC-001,2025-01-23,ORD-01-003,buttons,520.7,557.4,,available,train,synthetic
MAT-000019,FAC-001,2025-01-25,ORD-01-003,shell_fabric,100.0,104.7,,available,train,synthetic
MAT-000020,FAC-001,2025-01-26,ORD-01-003,labels,100.0,110.8,,available,train,synthetic
MAT-000021,FAC-001,2025-01-27,ORD-01-004,buttons,6962.7,7320.9,,available,train,synthetic
MAT-000022,FAC-001,2025-01-28,ORD-01-004,sewing_thread,7169.0,7621.1,,available,train,synthetic
MAT-000023,FAC-001,2025-01-29,ORD-01-004,buttons,5995.8,6407.9,,available,train,synthetic
MAT-000024,FAC-001,2025-01-30,ORD-01-004,buttons,5948.0,6125.4,,available,train,synthetic
MAT-000025,FAC-001,2025-02-01,ORD-01-004,zipper,3781.3,4064.3,,available,train,synthetic
MAT-000026,FAC-001,2025-02-02,ORD-01-004,shell_fabric,3053.5,3060.6,,available,train,synthetic
MAT-000027,FAC-001,2025-02-03,ORD-01-004,sewing_thread,1775.0,1848.7,,available,train,synthetic
MAT-000028,FAC-001,2025-02-04,ORD-01-004,sewing_thread,1401.0,1416.0,,available,train,synthetic
MAT-000029,FAC-001,2025-02-05,ORD-01-004,buttons,1149.1,1170.7,,available,train,synthetic
MAT-000030,FAC-001,2025-02-06,ORD-01-004,shell_fabric,381.9,420.2,,available,train,synthetic
MAT-000031,FAC-001,2025-02-08,ORD-01-004,sewing_thread,100.0,72.4,2025-02-08T09:00:00+00:00,minor,train,synthetic
MAT-000032,FAC-001,2025-02-09,ORD-01-005,zipper,2546.1,2648.2,,available,train,synthetic
MAT-000033,FAC-001,2025-02-10,ORD-01-005,shell_fabric,4183.7,4438.9,,available,train,synthetic
MAT-000034,FAC-001,2025-02-11,ORD-01-005,labels,2933.1,3041.9,,available,train,synthetic
MAT-000035,FAC-001,2025-02-12,ORD-01-005,sewing_thread,1539.8,1561.9,,available,train,synthetic
MAT-000036,FAC-001,2025-02-13,ORD-01-005,buttons,2414.1,1878.2,2025-02-13T09:00:00+00:00,minor,train,synthetic
MAT-000037,FAC-001,2025-02-15,ORD-01-005,sewing_thread,1603.1,1784.2,,available,train,synthetic
MAT-000038,FAC-001,2025-02-16,ORD-01-005,zipper,1502.9,1573.4,,available,train,synthetic
MAT-000039,FAC-001,2025-02-17,ORD-01-005,sewing_thread,797.6,883.3,,available,train,synthetic
MAT-000040,FAC-001,2025-02-18,ORD-01-005,zipper,552.6,602.9,,available,train,synthetic
MAT-000041,FAC-001,2025-02-19,ORD-01-005,labels,241.8,262.3,,available,train,synthetic
MAT-000042,FAC-001,2025-02-20,ORD-01-005,sewing_thread,100.0,108.9,,available,train,synthetic
MAT-000043,FAC-001,2025-02-22,ORD-01-006,sewing_thread,1711.3,1866.5,,available,train,synthetic
MAT-000044,FAC-001,2025-02-23,ORD-01-006,buttons,2324.6,2515.2,,available,train,synthetic
MAT-000045,FAC-001,2025-02-24,ORD-01-006,shell_fabric,1524.4,1706.3,,available,train,synthetic
MAT-000046,FAC-001,2025-02-25,ORD-01-006,sewing_thread,1264.9,1296.2,,available,train,synthetic
MAT-000047,FAC-001,2025-02-26,ORD-01-006,zipper,713.6,729.0,,available,train,synthetic
MAT-000048,FAC-001,2025-02-27,ORD-01-006,sewing_thread,346.3,364.3,,available,train,synthetic
MAT-000049,FAC-001,2025-03-01,ORD-01-006,buttons,177.5,196.1,,available,train,synthetic
MAT-000050,FAC-001,2025-03-02,ORD-01-006,zipper,100.0,104.1,,available,train,synthetic
MAT-000051,FAC-001,2025-03-03,ORD-01-007,buttons,5468.7,5668.4,,available,train,synthetic
MAT-000052,FAC-001,2025-03-04,ORD-01-007,zipper,5259.5,5346.7,,available,train,synthetic
MAT-000053,FAC-001,2025-03-05,ORD-01-007,buttons,5280.2,5690.8,,available,train,synthetic
MAT-000054,FAC-001,2025-03-06,ORD-01-007,labels,3555.5,1163.2,2025-03-08T09:00:00+00:00,critical,train,synthetic
MAT-000055,FAC-001,2025-03-08,ORD-01-007,sewing_thread,3694.0,3850.5,,available,train,synthetic
MAT-000056,FAC-001,2025-03-09,ORD-01-007,zipper,2336.8,2540.1,,available,train,synthetic
MAT-000057,FAC-001,2025-03-10,ORD-01-007,zipper,959.7,1068.4,,available,train,synthetic
MAT-000058,FAC-001,2025-03-11,ORD-01-007,zipper,561.5,581.1,,available,train,synthetic
MAT-000059,FAC-001,2025-03-12,ORD-01-007,labels,100.0,106.0,,available,train,synthetic
MAT-000060,FAC-001,2025-03-13,ORD-01-007,buttons,100.0,107.3,,available,train,synthetic
MAT-000061,FAC-001,2025-03-15,ORD-01-008,labels,4677.2,4769.2,,available,train,synthetic
MAT-000062,FAC-001,2025-03-16,ORD-01-008,zipper,5026.0,5438.3,,available,train,synthetic
MAT-000063,FAC-001,2025-03-17,ORD-01-008,buttons,4172.4,4590.1,,available,train,synthetic
MAT-000064,FAC-001,2025-03-18,ORD-01-008,shell_fabric,3199.1,3500.4,,available,train,synthetic
MAT-000065,FAC-001,2025-03-19,ORD-01-008,zipper,2099.6,2103.5,,available,train,synthetic
MAT-000066,FAC-001,2025-03-20,ORD-01-008,shell_fabric,1351.5,439.3,2025-03-22T09:00:00+00:00,critical,train,synthetic
MAT-000067,FAC-001,2025-03-22,ORD-01-008,buttons,543.3,549.9,,available,train,synthetic
MAT-000068,FAC-001,2025-03-23,ORD-01-009,buttons,3503.4,3588.8,,available,train,synthetic
MAT-000069,FAC-001,2025-03-24,ORD-01-009,sewing_thread,2319.6,2442.9,,available,train,synthetic
MAT-000070,FAC-001,2025-03-25,ORD-01-009,shell_fabric,3928.0,3965.2,,available,train,synthetic
MAT-000071,FAC-001,2025-03-26,ORD-01-009,sewing_thread,1682.9,1703.7,,available,train,synthetic
MAT-000072,FAC-001,2025-03-27,ORD-01-009,labels,1860.1,2054.1,,available,train,synthetic
MAT-000073,FAC-001,2025-03-29,ORD-01-009,buttons,1155.5,1207.3,,available,train,synthetic
MAT-000074,FAC-001,2025-03-30,ORD-01-009,labels,300.0,323.4,,available,train,synthetic
MAT-000075,FAC-001,2025-03-31,ORD-01-009,buttons,100.0,111.8,,available,train,synthetic
MAT-000076,FAC-001,2025-04-01,ORD-01-009,sewing_thread,100.0,103.1,,available,train,synthetic
MAT-000077,FAC-001,2025-04-02,ORD-01-010,buttons,2271.3,2353.6,,available,train,synthetic
MAT-000078,FAC-001,2025-04-03,ORD-01-010,shell_fabric,2545.2,2759.8,,available,train,synthetic
MAT-000079,FAC-001,2025-04-05,ORD-01-010,buttons,2670.6,2803.8,,available,train,synthetic
MAT-000080,FAC-001,2025-04-06,ORD-01-010,zipper,1086.7,1210.0,,available,train,synthetic
MAT-000081,FAC-001,2025-04-07,ORD-01-010,sewing_thread,842.7,920.6,,available,train,synthetic
MAT-000082,FAC-001,2025-04-08,ORD-01-010,zipper,296.4,312.3,,available,train,synthetic
MAT-000083,FAC-001,2025-04-09,ORD-01-011,shell_fabric,1466.5,1515.9,,available,train,synthetic
MAT-000084,FAC-001,2025-04-10,ORD-01-011,shell_fabric,1993.9,766.3,2025-04-12T09:00:00+00:00,critical,train,synthetic
MAT-000085,FAC-001,2025-04-12,ORD-01-011,shell_fabric,1723.2,1359.4,2025-04-12T09:00:00+00:00,minor,train,synthetic
