order_id,factory_id,style_id,order_code,order_quantity,planned_start_date,planned_end_date,committed_due_date,actual_completion_at,priority,status,label_order_delayed,data_split,dataset_provenance
ORD-01-001,FAC-001,STY-007,PO-01-001,4600,2025-01-04,2025-01-07,2025-01-07,2025-01-08T17:59:00+00:00,normal,completed,1,train,synthetic
ORD-01-002,FAC-001,STY-023,PO-01-002,4050,2025-01-09,2025-01-13,2025-01-13,2025-01-14T17:59:00+00:00,normal,completed,1,train,synthetic
ORD-01-003,FAC-001,STY-019,PO-01-003,9000,2025-01-15,2025-01-23,2025-01-25,2025-01-26T08:59:00+00:00,high,completed,1,train,synthetic
ORD-01-004,FAC-001,STY-033,PO-01-004,20000,2025-01-27,2025-02-05,2025-02-08,2025-02-08T16:59:00+00:00,normal,completed,0,train,synthetic
ORD-01-005,FAC-001,STY-023,PO-01-005,10100,2025-02-09,2025-02-18,2025-02-20,2025-02-20T17:59:00+00:00,urgent,completed,0,train,synthetic
ORD-01-006,FAC-001,STY-007,PO-01-006,7050,2025-02-22,2025-03-01,2025-03-03,2025-03-02T15:59:00+00:00,high,completed,0,train,synthetic
ORD-01-007,FAC-001,STY-017,PO-01-007,15350,2025-03-03,2025-03-10,2025-03-11,2025-03-13T09:59:00+00:00,normal,completed,1,train,synthetic
ORD-01-008,FAC-001,STY-033,PO-01-008,13350,2025-03-15,2025-03-20,2025-03-22,2025-03-22T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-01-009,FAC-001,STY-034,PO-01-009,12000,2025-03-23,2025-03-29,2025-03-29,2025-04-01T08:59:00+00:00,normal,completed,1,train,synthetic
ORD-01-010,FAC-001,STY-008,PO-01-010,11250,2025-04-02,2025-04-07,2025-04-09,2025-04-08T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-01-011,FAC-001,STY-020,PO-01-011,6000,2025-04-09,2025-04-15,2025-04-16,2025-04-16T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-01-012,FAC-001,STY-008,PO-01-012,13150,2025-04-17,2025-04-23,2025-04-26,2025-04-24T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-01-013,FAC-001,STY-006,PO-01-013,10800,2025-04-26,2025-05-04,2025-05-04,2025-05-07T10:59:00+00:00,high,completed,1,train,synthetic
ORD-01-014,FAC-001,STY-036,PO-01-014,9350,2025-05-08,2025-05-18,2025-05-19,2025-05-21T08:59:00+00:00,high,completed,1,validation,synthetic
ORD-01-015,FAC-001,STY-017,PO-01-015,10250,2025-05-22,2025-05-27,2025-05-28,2025-05-29T17:59:00+00:00,normal,completed,1,validation,synthetic
ORD-01-016,FAC-001,STY-022,PO-01-016,12450,2025-05-31,2025-06-09,2025-06-10,2025-06-09T17:59:00+00:00,normal,completed,0,validation,synthetic
ORD-01-017,FAC-001,STY-007,PO-01-017,10900,2025-06-10,2025-06-21,2025-06-22,2025-06-22T17:59:00+00:00,high,completed,0,test,synthetic
ORD-01-018,FAC-001,STY-005,PO-01-018,4000,2025-06-23,2025-06-28,2025-06-29,2025-06-30T17:59:00+00:00,normal,completed,1,test,synthetic
ORD-02-001,FAC-001,STY-033,PO-02-001,9350,2025-01-04,2025-01-07,2025-01-08,2025-01-08T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-02-002,FAC-001,STY-021,PO-02-002,5900,2025-01-09,2025-01-16,2025-01-18,2025-01-19T11:59:00+00:00,normal,completed,1,train,synthetic
ORD-02-003,FAC-001,STY-018,PO-02-003,13950,2025-01-20,2025-01-27,2025-01-28,2025-01-28T12:59:00+00:00,normal,completed,0,train,synthetic
ORD-02-004,FAC-001,STY-001,PO-02-004,21300,2025-01-29,2025-02-09,2025-02-10,2025-02-11T17:59:00+00:00,high,completed,1,train,synthetic
