quality_defect_id,factory_id,work_date,line_id,order_id,style_id,defect_code,defect_count,inspected_qty,severity,data_split,dataset_provenance
QDEF-000001,FAC-001,2025-01-04,LINE-01,ORD-01-001,STY-007,measurement_variance,2,297,minor,train,synthetic
QDEF-000002,FAC-001,2025-01-04,LINE-01,ORD-01-001,STY-007,open_seam,1,297,minor,train,synthetic
QDEF-000003,FAC-001,2025-01-04,LINE-01,ORD-01-001,STY-007,oil_mark,3,297,major,train,synthetic
QDEF-000004,FAC-001,2025-01-04,LINE-01,ORD-01-001,STY-007,puckering,4,297,major,train,synthetic
QDEF-000005,FAC-001,2025-01-04,LINE-01,ORD-01-001,STY-007,skip_stitch,2,297,minor,train,synthetic
QDEF-000006,FAC-001,2025-01-04,LINE-01,ORD-01-001,STY-007,uneven_stitch,1,297,major,train,synthetic
QDEF-000007,FAC-001,2025-01-05,LINE-01,ORD-01-001,STY-007,measurement_variance,3,428,major,train,synthetic
QDEF-000008,FAC-001,2025-01-05,LINE-01,ORD-01-001,STY-007,skip_stitch,2,428,minor,train,synthetic
QDEF-000009,FAC-001,2025-01-05,LINE-01,ORD-01-001,STY-007,uneven_stitch,2,428,major,train,synthetic
QDEF-000010,FAC-001,2025-01-05,LINE-01,ORD-01-001,STY-007,oil_mark,2,428,minor,train,synthetic
QDEF-000011,FAC-001,2025-01-05,LINE-01,ORD-01-001,STY-007,puckering,1,428,minor,train,synthetic
QDEF-000012,FAC-001,2025-01-05,LINE-01,ORD-01-001,STY-007,shade_variation,1,428,minor,train,synthetic
QDEF-000013,FAC-001,2025-01-05,LINE-01,ORD-01-001,STY-007,open_seam,2,428,major,train,synthetic
QDEF-000014,FAC-001,2025-01-06,LINE-01,ORD-01-001,STY-007,uneven_stitch,4,542,minor,train,synthetic
QDEF-000015,FAC-001,2025-01-06,LINE-01,ORD-01-001,STY-007,measurement_variance,2,542,major,train,synthetic
QDEF-000016,FAC-001,2025-01-06,LINE-01,ORD-01-001,STY-007,skip_stitch,1,542,minor,train,synthetic
QDEF-000017,FAC-001,2025-01-06,LINE-01,ORD-01-001,STY-007,open_seam,3,542,minor,train,synthetic
QDEF-000018,FAC-001,2025-01-06,LINE-01,ORD-01-001,STY-007,shade_variation,1,542,minor,train,synthetic
QDEF-000019,FAC-001,2025-01-06,LINE-01,ORD-01-001,STY-007,puckering,3,542,minor,train,synthetic
QDEF-000020,FAC-001,2025-01-06,LINE-01,ORD-01-001,STY-007,oil_mark,1,542,major,train,synthetic
QDEF-000021,FAC-001,2025-01-07,LINE-01,ORD-01-001,STY-007,puckering,3,616,major,train,synthetic
QDEF-000022,FAC-001,2025-01-07,LINE-01,ORD-01-001,STY-007,open_seam,2,616,minor,train,synthetic
QDEF-000023,FAC-001,2025-01-07,LINE-01,ORD-01-001,STY-007,uneven_stitch,3,616,minor,train,synthetic
QDEF-000024,FAC-001,2025-01-07,LINE-01,ORD-01-001,STY-007,oil_mark,2,616,minor,train,synthetic
QDEF-000025,FAC-001,2025-01-07,LINE-01,ORD-01-001,STY-007,shade_variation,1,616,major,train,synthetic
QDEF-000026,FAC-001,2025-01-08,LINE-01,ORD-01-001,STY-007,puckering,3,390,minor,train,synthetic
QDEF-000027,FAC-001,2025-01-08,LINE-01,ORD-01-001,STY-007,uneven_stitch,2,390,major,train,synthetic
QDEF-000028,FAC-001,2025-01-08,LINE-01,ORD-01-001,STY-007,shade_variation,1,390,minor,train,synthetic
QDEF-000029,FAC-001,2025-01-08,LINE-01,ORD-01-001,STY-007,oil_mark,2,390,major,train,synthetic
QDEF-000030,FAC-001,2025-01-08,LINE-01,ORD-01-001,STY-007,measurement_variance,2,390,major,train,synthetic
QDEF-000031,FAC-001,2025-01-08,LINE-01,ORD-01-001,STY-007,skip_stitch,1,390,minor,train,synthetic
QDEF-000032,FAC-001,2025-01-09,LINE-01,ORD-01-002,STY-023,uneven_stitch,5,380,minor,train,synthetic
QDEF-000033,FAC-001,2025-01-09,LINE-01,ORD-01-002,STY-023,shade_variation,1,380,major,train,synthetic
QDEF-000034,FAC-001,2025-01-09,LINE-01,ORD-01-002,STY-023,open_seam,7,380,minor,train,synthetic
QDEF-000035,FAC-001,2025-01-09,LINE-01,ORD-01-002,STY-023,measurement_variance,3,380,minor,train,synthetic
QDEF-000036,FAC-001,2025-01-09,LINE-01,ORD-01-002,STY-023,skip_stitch,5,380,minor,train,synthetic
QDEF-000037,FAC-001,2025-01-09,LINE-01,ORD-01-002,STY-023,oil_mark,3,380,minor,train,synthetic
QDEF-000038,FAC-001,2025-01-11,LINE-01,ORD-01-002,STY-023,uneven_stitch,13,406,major,train,synthetic
QDEF-000039,FAC-001,2025-01-11,LINE-01,ORD-01-002,STY-023,oil_mark,6,406,minor,train,synthetic
QDEF-000040,FAC-001,2025-01-11,LINE-01,ORD-01-002,STY-023,skip_stitch,3,406,minor,train,synthetic
QDEF-000041,FAC-001,2025-01-11,LINE-01,ORD-01-002,STY-023,open_seam,3,406,minor,train,synthetic
QDEF-000042,FAC-001,2025-01-11,LINE-01,ORD-01-002,STY-023,measurement_variance,2,406,major,train,synthetic
QDEF-000043,FAC-001,2025-01-11,LINE-01,ORD-01-002,STY-023,shade_variation,3,406,minor,train,synthetic
QDEF-000044,FAC-001,2025-01-11,LINE-01,ORD-01-002,STY-023,puckering,1,406,minor,train,synthetic
QDEF-000045,FAC-001,2025-01-12,LINE-01,ORD-01-002,STY-023,uneven_stitch,6,503,major,train,synthetic
QDEF-000046,FAC-001,2025-01-12,LINE-01,ORD-01-002,STY-023,measurement_variance,5,503,minor,train,synthetic
QDEF-000047,FAC-001,2025-01-12,LINE-01,ORD-01-002,STY-023,puckering,2,503,minor,train,synthetic
QDEF-000048,FAC-001,2025-01-12,LINE-01,ORD-01-002,STY-023,open_seam,2,503,minor,train,synthetic
QDEF-000049,FAC-001,2025-01-12,LINE-01,ORD-01-002,STY-023,oil_mark,3,503,minor,train,synthetic
QDEF-000050,FAC-001,2025-01-12,LINE-01,ORD-01-002,STY-023,skip_stitch,2,503,major,train,synthetic
QDEF-000051,FAC-001,2025-01-13,LINE-01,ORD-01-002,STY-023,oil_mark,5,454,major,train,synthetic
QDEF-000052,FAC-001,2025-01-13,LINE-01,ORD-01-002,STY-023,skip_stitch,8,454,critical,train,synthetic
QDEF-000053,FAC-001,2025-01-13,LINE-01,ORD-01-002,STY-023,uneven_stitch,7,454,minor,train,synthetic
QDEF-000054,FAC-001,2025-01-13,LINE-01,ORD-01-002,STY-023,measurement_variance,3,454,major,train,synthetic
QDEF-000055,FAC-001,2025-01-13,LINE-01,ORD-01-002,STY-023,puckering,11,454,minor,train,synthetic
QDEF-000056,FAC-001,2025-01-13,LINE-01,ORD-01-002,STY-023,shade_variation,4,454,minor,train,synthetic
QDEF-000057,FAC-001,2025-01-13,LINE-01,ORD-01-002,STY-023,open_seam,4,454,minor,train,synthetic
QDEF-000058,FAC-001,2025-01-14,LINE-01,ORD-01-002,STY-023,open_seam,1,266,minor,train,synthetic
QDEF-000059,FAC-001,2025-01-14,LINE-01,ORD-01-002,STY-023,puckering,3,266,minor,train,synthetic
QDEF-000060,FAC-001,2025-01-14,LINE-01,ORD-01-002,STY-023,uneven_stitch,2,266,minor,train,synthetic
QDEF-000061,FAC-001,2025-01-14,LINE-01,ORD-01-002,STY-023,oil_mark,1,266,minor,train,synthetic
QDEF-000062,FAC-001,2025-01-14,LINE-01,ORD-01-002,STY-023,shade_variation,1,266,major,train,synthetic
QDEF-000063,FAC-001,2025-01-15,LINE-01,ORD-01-003,STY-019,skip_stitch,1,246,minor,train,synthetic
QDEF-000064,FAC-001,2025-01-15,LINE-01,ORD-01-003,STY-019,measurement_variance,2,246,major,train,synthetic
QDEF-000065,FAC-001,2025-01-15,LINE-01,ORD-01-003,STY-019,puckering,2,246,major,train,synthetic
QDEF-000066,FAC-001,2025-01-15,LINE-01,ORD-01-003,STY-019,open_seam,1,246,minor,train,synthetic
QDEF-000067,FAC-001,2025-01-15,LINE-01,ORD-01-003,STY-019,shade_variation,1,246,minor,train,synthetic
QDEF-000068,FAC-001,2025-01-16,LINE-01,ORD-01-003,STY-019,shade_variation,1,565,minor,train,synthetic
QDEF-000069,FAC-001,2025-01-16,LINE-01,ORD-01-003,STY-019,puckering,3,565,major,train,synthetic
QDEF-000070,FAC-001,2025-01-16,LINE-01,ORD-01-003,STY-019,skip_stitch,2,565,major,train,synthetic
QDEF-000071,FAC-001,2025-01-16,LINE-01,ORD-01-003,STY-019,uneven_stitch,5,565,minor,train,synthetic
QDEF-000072,FAC-001,2025-01-16,LINE-01,ORD-01-003,STY-019,oil_mark,2,565,major,train,synthetic
QDEF-000073,FAC-001,2025-01-16,LINE-01,ORD-01-003,STY-019,open_seam,3,565,minor,train,synthetic
QDEF-000074,FAC-001,2025-01-16,LINE-01,ORD-01-003,STY-019,measurement_variance,2,565,minor,train,synthetic
