column,value,count,rate
complexity_band,high,502,0.410131
complexity_band,medium,489,0.39951
complexity_band,low,233,0.190359
material_status,available,1107,0.904412
material_status,minor,79,0.064542
material_status,critical,38,0.031046
root_cause_signal,none,739,0.603758
root_cause_signal,quality,163,0.13317
root_cause_signal,manpower,92,0.075163
root_cause_signal,machine,89,0.072712
root_cause_signal,method,61,0.049837
root_cause_signal,planning,42,0.034314
root_cause_signal,material,38,0.031046
line_id,LINE-01,153,0.125
line_id,LINE-02,153,0.125
line_id,LINE-03,153,0.125
line_id,LINE-04,153,0.125
line_id,LINE-05,153,0.125
line_id,LINE-06,153,0.125
line_id,LINE-07,153,0.125
line_id,LINE-08,153,0.125
data_split,train,808,0.660131
data_split,validation,208,0.169935
data_split,test,208,0.169935
