column,missing_count,missing_rate
attendance_rate,0,0.0
changeover_minutes,0,0.0
complexity_band,0,0.0
daily_actual_output,0,0.0
daily_target,0,0.0
data_split,0,0.0
dataset_provenance,0,0.0
day_in_order,0,0.0
defect_rate_to_snapshot,0,0.0
defects_to_snapshot,0,0.0
downtime_to_snapshot,0,0.0
factory_id,0,0.0
inspected_to_snapshot,0,0.0
label_daily_target_missed,0,0.0
label_high_defect,0,0.0
line_id,0,0.0
material_status,0,0.0
order_id,0,0.0
output_to_snapshot,0,0.0
planned_workers,0,0.0
present_workers,0,0.0
previous_day_miss,0,0.0
progress_ratio,0,0.0
rolling_3d_downtime,0,0.0
rolling_3d_efficiency,0,0.0
root_cause_signal,0,0.0
sam_minutes,0,0.0
snapshot_at,0,0.0
snapshot_id,0,0.0
style_id,0,0.0
target_to_snapshot,0,0.0
work_date,0,0.0
