feature,count,mean,std,min,25%,50%,75%,max
day_in_order,1224.0,5.0245098039215685,2.8479116455229283,1.0,3.0,5.0,7.0,13.0
sam_minutes,1224.0,20.900245098039214,8.268203976456826,7.6,14.5,19.7,27.5,41.6
planned_workers,1224.0,49.2671568627451,5.366962297772289,36.0,47.0,50.0,53.0,58.0
present_workers,1224.0,46.708333333333336,5.320387283870221,30.0,44.0,47.0,50.0,57.0
attendance_rate,1224.0,0.9481026960784313,0.03180753600599459,0.8163,0.9375,0.9565,0.9723999999999999,0.9828
target_to_snapshot,1224.0,488.797385620915,309.99639139043074,1.0,330.0,415.0,585.0,1150.0
output_to_snapshot,1224.0,429.7704248366013,286.36025959309814,1.0,249.0,381.0,551.0,1256.0
progress_ratio,1224.0,0.8927517973856209,0.16198349944747711,0.3174,0.8451,0.95,1.0,1.1
downtime_to_snapshot,1224.0,6.029411764705882,14.943418527861395,0.0,0.0,0.0,0.0,106.0
inspected_to_snapshot,1224.0,206.47549019607843,138.9092224759919,0.0,119.0,183.0,265.25,679.0
defects_to_snapshot,1224.0,6.508986928104576,4.54233300858802,0.0,3.0,6.0,9.0,29.0
defect_rate_to_snapshot,1224.0,0.03637990196078431,0.049936331872429865,0.0,0.0182,0.03005,0.04585,1.0
changeover_minutes,1224.0,11.624183006535947,33.30089197795454,0.0,0.0,0.0,0.0,143.0
rolling_3d_efficiency,1224.0,0.8999613562091503,0.07854566541390894,0.5535,0.845225,0.9097,0.965875,1.0371
rolling_3d_downtime,1224.0,10.92468954248366,11.868933960648926,0.0,0.0,8.33,17.67,65.0
previous_day_miss,1224.0,0.7173202614379085,0.45048607386390066,0.0,0.0,1.0,1.0,1.0
